Strategy_no,From_time,To_time,no_preds,Accuracy,p_val,, 0_min_low,, 0_indicator,, 0_threshold_high,, 0_direction,, 0_max_high,, 0_threshold_low,, 1_min_low,, 1_indicator,, 1_threshold_high,, 1_direction,, 1_max_high,, 1_threshold_low
,2005-01-01 00:00:00, 2005-12-31 23:59:59,133,0.7218045113,3.19395756423E-07, 0_min_low,-500, 0_indicator, CDL3OUTSID_D, 0_threshold_high,0.5, 0_direction, long_below_low, 0_max_high,500, 0_threshold_low,-0.5, 1_min_low,0, 1_indicator, RSI_D, 1_threshold_high,70, 1_direction, long_below_low, 1_max_high,100, 1_threshold_low,30
,2005-01-01 00:00:00, 2005-12-31 23:59:59,390,0.4820512821,0.510409396, 0_min_low,-500, 0_indicator, CDL3OUTSID_D, 0_threshold_high,0.5, 0_direction, long_above_high, 0_max_high,500, 0_threshold_low,-0.5, 1_min_low,0, 1_indicator, RSI_D, 1_threshold_high,70, 1_direction, long_below_low, 1_max_high,100, 1_threshold_low,30
,2005-01-01 00:00:00, 2005-12-31 23:59:59,509,0.4125736739,9.24078267551E-05, 0_min_low,-500, 0_indicator, CDL3OUTSID_D, 0_threshold_high,0.5, 0_direction, long_below_low, 0_max_high,500, 0_threshold_low,-0.5, 1_min_low,30, 1_indicator, RSI_D, 1_threshold_high,50, 1_direction, long_above_high, 1_max_high,70, 1_threshold_low,50
,2005-01-01 00:00:00, 2005-12-31 23:59:59,808,0.5346534653,0.0529361451, 0_min_low,-500, 0_indicator, CDL3OUTSID_D, 0_threshold_high,0.5, 0_direction, long_above_high, 0_max_high,500, 0_threshold_low,-0.5, 1_min_low,30, 1_indicator, RSI_D, 1_threshold_high,50, 1_direction, long_above_high, 1_max_high,70, 1_threshold_low,50
,2005-01-01 00:00:00, 2005-12-31 23:59:59,1349,0.5366938473,0.0076027396, 0_min_low,-500, 0_indicator, CDL3OUTSID_D, 0_threshold_high,0.5, 0_direction, long_below_low, 0_max_high,500, 0_threshold_low,-0.5, 1_min_low,30, 1_indicator, RSI, 1_threshold_high,55, 1_direction, long_below_low, 1_max_high,70, 1_threshold_low,45
,2005-01-01 00:00:00, 2005-12-31 23:59:59,1223,0.5568274734,0.000078146, 0_min_low,-500, 0_indicator, CDL3OUTSID_D, 0_threshold_high,0.5, 0_direction, long_above_high, 0_max_high,500, 0_threshold_low,-0.5, 1_min_low,30, 1_indicator, RSI, 1_threshold_high,55, 1_direction, long_below_low, 1_max_high,70, 1_threshold_low,45
,2005-01-01 00:00:00, 2005-12-31 23:59:59,303,0.501650165,1, 0_min_low,-500, 0_indicator, CDL3OUTSID_D, 0_threshold_high,0.5, 0_direction, long_below_low, 0_max_high,500, 0_threshold_low,-0.5, 1_min_low,0, 1_indicator, RSI, 1_threshold_high,70, 1_direction, long_below_low, 1_max_high,100, 1_threshold_low,30
,2005-01-01 00:00:00, 2005-12-31 23:59:59,301,0.4784053156,0.4892088552, 0_min_low,-500, 0_indicator, CDL3OUTSID_D, 0_threshold_high,0.5, 0_direction, long_above_high, 0_max_high,500, 0_threshold_low,-0.5, 1_min_low,0, 1_indicator, RSI, 1_threshold_high,70, 1_direction, long_below_low, 1_max_high,100, 1_threshold_low,30
,2005-01-01 00:00:00, 2005-12-31 23:59:59,1797,0.4546466333,0.0001313142, 0_min_low,-500, 0_indicator, CDL3OUTSID_D, 0_threshold_high,0.5, 0_direction, long_below_low, 0_max_high,500, 0_threshold_low,-0.5, 1_min_low,30, 1_indicator, RSI, 1_threshold_high,50, 1_direction, long_above_high, 1_max_high,70, 1_threshold_low,50
,2005-01-01 00:00:00, 2005-12-31 23:59:59,1934,0.4927611169,0.5392569143, 0_min_low,-500, 0_indicator, CDL3OUTSID_D, 0_threshold_high,0.5, 0_direction, long_above_high, 0_max_high,500, 0_threshold_low,-0.5, 1_min_low,30, 1_indicator, RSI, 1_threshold_high,50, 1_direction, long_above_high, 1_max_high,70, 1_threshold_low,50
